_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,browser_height,browser_width,feedback,tags,time,time_after,time_before,time_during,time_total,batch,browser_gold,browser_height_gold,browser_width_gold,duration,feedback_gold,image,row,sequence,tags_gold,time_after_gold,time_before_gold,time_during_gold,time_gold,time_total_gold,url
1054720247,10/03/2016 12:34,2152784774,10/03/2016 12:34,FALSE,grabpoints,0.231,39013744,653,1097,,"world,map,tap",5,13.9,5,4.9,23.9,6,,,,5,,image_158.jpg,720,0,,,,,,,http://www.vismet.org/VisMet/images/full/image_158.jpg
1054720248,10/03/2016 09:48,2152618277,10/03/2016 09:47,FALSE,prodege,0.8333,15555970,662,1366,,"tortoise, turtle, sheel, head, greyscale",1,4.7,4.4,0.3,9.5,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 10:03,2152624495,10/03/2016 10:02,FALSE,gifthunterclub,0.4114,39786553,918,1280,,"animal, turtle, cracks, gray",1,8.2,6.4,0.9,15.5,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 10:05,2152625084,10/03/2016 10:02,FALSE,inboxpounds,0.2046,27836433,710,1200,,"turtle, brain, shell",1,9.3,14.5,0.8,24.3,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 10:08,2152626084,10/03/2016 10:07,FALSE,prodege,0.5053,32850083,894,1280,,"brain, turtle",1,4.8,4.6,0.9,10.4,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 10:14,2152628653,10/03/2016 10:13,FALSE,clixsense,0.1874,20512953,812,1156,,"turtle, brain",1,10.7,35.1,0.9,46.9,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 10:28,2152634361,10/03/2016 10:27,FALSE,neodev,0.3315,35178285,827,600,,"turtle, brain, black",1,16.8,6.1,1,23.9,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 10:43,2152641718,10/03/2016 10:43,FALSE,clixsense,0.351,6352682,770,1440,,turtle-tortoise,1,8.3,5.2,1,14.6,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 10:48,2152646864,10/03/2016 10:48,FALSE,instagc,0.3149,31176117,1128,800,,"turtle, brain shaped, shell",1,17.9,6.2,0.9,25.1,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 10:57,2152657281,10/03/2016 10:57,FALSE,gifthunterclub,0.239,24043308,648,1280,,"turtle, brain",1,11.8,5,1,17.9,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 11:03,2152664155,10/03/2016 10:57,FALSE,clixsense,0.2164,29275930,983,1597,,turtle,1,3.9,39.8,1,44.8,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 11:04,2152666535,10/03/2016 11:04,FALSE,clixsense,0.3059,31988217,851,1821,,"turtle, shell",1,5.3,7.2,1,13.6,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 11:04,2152666609,10/03/2016 11:02,FALSE,instagc,0.272,17971506,657,1366,,"turtle,brain,wrinkles",1,9,82.8,1,92.9,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 11:23,2152691709,10/03/2016 11:22,FALSE,clixsense,0.2757,6340330,580,1242,,turtle,1,7.6,7.4,1,16.1,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 11:26,2152695682,10/03/2016 11:26,FALSE,neodev,0.2772,35701460,618,1366,,brain,1,7,6.2,0.9,14.3,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 11:34,2152704123,10/03/2016 11:34,FALSE,gifthulk,0.2519,22552178,679,1280,,"Turtle, brain",1,17.1,6.6,1,24.7,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 11:41,2152712139,10/03/2016 11:41,FALSE,clixsense,0.2524,35394287,974,1920,,turtle,1,4.8,4.5,1,10.3,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 12:08,2152742689,10/03/2016 12:08,FALSE,eup_slw,0.2747,24992939,974,1920,,"slow, brain",1,6.3,4,1,11.4,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 12:12,2152748527,10/03/2016 12:12,FALSE,clixsense,0.2895,36313199,638,1366,,brain shaped turtle-shell,1,17,7.6,1,25.7,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
1054720248,10/03/2016 12:20,2152762223,10/03/2016 12:20,FALSE,prodege,0.2512,24403612,646,1126,,"turtle, brin shell",1,5.3,4,1,10.4,6,,,,1,,image_67.jpg,721,1,,,,,,,http://www.vismet.org/VisMet/images/full/image_67.jpg
